Tweet,Years,Tweet Length,Lemmatized,Tweets with no Stopwords,Short Tweets
 this is garbage   teach your sons about consent  to not behave like a privileged a hole  to stop racism  drink responsibly  to respect women  amp  that your behaviour throughout your life matters  amp  can affect future oppounities  amp  they will have a better life   not a  issue ,2018,283,this be garbage teach your son about consent to not behave like a privileged a hole to stop racism drink responsibly to respect woman amp that your behaviour throughout your life matter amp can affect future oppounities amp they will have a good life not a issue,garbage teach son consent behave like privileged hole stop racism drink responsibly respect woman amp behaviour throughout life matter amp affect future oppounities amp good life issue,garbage teach son consent behave like privileged hole stop racism drink responsibly respect woman amp behaviour throughout life matter amp affect future oppounities amp good life issue
                                                 your total and very cruel insensitivity towards women serially victimized by democrat men compels me to block you   pity  because your tweets and memes are of much higher quality than the bland garbage of paid soros bots    i did enjoy reading your tweets  but  comes first ,2018,323,your total and very cruel insensitivity towards woman serially victimize by democrat men compels me to block you pity because your tweet and meme be of much high quality than the bland garbage of pay soros bot i do enjoy read your tweet but come first,total cruel insensitivity towards woman serially victimize democrat men compels block pity tweet meme much high quality bland garbage pay soros bot enjoy read tweet come first,total cruel insensitivity towards woman serially victimize democrat men compels block pity tweet meme much high quality bland garbage pay soros bot enjoy read tweet come first
if a man is ever in a car wreck   amp  the other driver is a woman  the man is always at fault  he should be taken to jail for attempted murder in all cases   amp  should have to pay for all damages   a woman can never be at fault when her body is at stake   i mean  how dare you   ,2018,282,if a man be ever in a car wreck amp the other driver be a woman the man be always at fault he should be take to jail for attempted murder in all case amp should have to pay for all damage a woman can never be at fault when her body be at stake i mean how dare you,man ever car wreck amp driver woman man always fault take jail attempted murder case amp pay damage woman never fault body stake mean dare,man ever car wreck amp driver woman man always fault take jail attempted murder case amp pay damage woman never fault body stake mean dare
                                                women  seem to always get screwed over   one way or another  jeff flake is out here wearing a super hero cape  for demanding a fbi investigation  a investigation limited to   people  four people  out of hundreds of people who know  what kind of suckers you take us,2018,312,woman seem to always get screw over one way or another jeff flake be out here wear a super hero cape for demand a fbi investigation a investigation limit to people four people out of hundred of people who know what kind of sucker you take us,woman seem always get screw one way another jeff flake wear super hero cape demand fbi investigation investigation limit people four people hundred people know kind sucker take us,woman seem always get screw one way another jeff flake wear super hero cape demand fbi investigation investigation limit people four people hundred people know kind sucker take
''' there is a lot    amp  i mean a lot of democrats are blind    there is no proof  no evidence  amp  no witnesses   the  does not include   me    amp  i was sexually assaulted when i was a child  too   but i would not put someone in jail if i wasn't      sure who the guilty pay was,2018,284,''' there be a lot amp i mean a lot of democrat be blind there be no proof no evidence amp no witness the do not include me amp i be sexually assault when i be a child too but i would not put someone in jail if i be n't sure who the guilty pay be,''' lot amp mean lot democrat blind proof evidence amp witness include amp sexually assault child would put someone jail n't sure guilty pay,''' lot amp mean lot democrat blind proof evidence amp witness include amp sexually assault child would put someone jail n't sure guilty pay
  no  does not explain her behavior nor give her an excuse  if she was assaulted why didn't she come fwd during  amp  tell her story  i did  i nevr had b  but the real suppoof othrs gave me the strength i needed  don't say  me too   amp  then spew bullshit abt takn responsibility ,2018,281,no do not explain her behavior nor give her an excuse if she be assault why do n't she come fwd during amp tell her story i do i nevr have b but the real suppoof othrs give me the strength i need do n't say me too amp then spew bullshit abt takn responsibility,explain behavior give excuse assault n't come fwd amp tell story nevr b real suppoof othrs give strength need n't say amp spew bullshit abt takn responsibility,explain behavior give excuse assault n't come fwd amp tell story nevr real suppoof othrs give strength need n't say amp spew bullshit abt takn responsibility
           kac has no coping skills  i'm surprised she admitted she has been sexually assulted  if she sided with dr  ford  it would put a target on her back  she is not ready for that  and  maybe it's just a scam   only she knows  and now if true her assulter knows she remembers  ,2018,282,kac have no cop skill i'm surprised she admit she have be sexually assulted if she side with dr ford it would put a target on her back she be not ready for that and maybe it's just a scam only she know and now if true her assulter know she remembers,kac cop skill i'm surprised admit sexually assulted side dr ford would put target back ready maybe scam know true assulter know remembers,kac cop skill i'm surprised admit sexually assulted side ford would put target back ready maybe scam know true assulter know remembers
 this endless switching back  amp  foh between the kavanaugh accusations  amp  the plight of bad justice in sexual assault cases is  honestly maddening  i am not talking about the kav accusations  i am talking about in general  the virulent outcry against   amp  victims in general ,2018,282,this endless switch back amp foh between the kavanaugh accusation amp the plight of bad justice in sexual assault case be honestly madden i be not talk about the kav accusation i be talk about in general the virulent outcry against amp victim in general,endless switch back amp foh kavanaugh accusation amp plight bad justice sexual assault case honestly madden talk kav accusation talk general virulent outcry amp victim general,endless switch back amp foh kavanaugh accusation amp plight bad justice sexual assault case honestly madden talk kav accusation talk general virulent outcry amp victim general
                                                donald trump said  the republicans were going to keep the power  lock out minorities from oppounities that others richly enjoy  we need new leaders in our government  young people  running for office   people  who care about the rest of america   ,2018,295,donald trump say the republican be go to keep the power lock out minority from oppounities that others richly enjoy we need new leader in our government young people run for office people who care about the rest of america,donald trump say republican go keep power lock minority oppounities others richly enjoy need new leader government young people run office people care rest america,donald trump say republican keep power lock minority oppounities others richly enjoy need new leader government young people run office people care rest america
                                                 the rest of america  is sick  amp  tired of the crap that the rich  old  white men   in power in our government   throw to us  the table scraps  disrespect  amp  disregard  we are fighting back  we demand  the democratic pay representatives  fight for us  you better   ,2018,318,the rest of america be sick amp tire of the crap that the rich old white men in power in our government throw to us the table scrap disrespect amp disregard we be fight back we demand the democratic pay representative fight for us you good,rest america sick amp tire crap rich old white men power government throw us table scrap disrespect amp disregard fight back demand democratic pay representative fight us good,rest america sick amp tire crap rich old white men power government throw table scrap disrespect amp disregard fight back demand democratic pay representative fight good
matt damon's snl attack on brett kavanaugh is a new low for democrats    look closely at these      pix of him with     gt harvey weinstein   gt bill clinton   gt hillary clinton   gt terry mcauliffe   gt madeleine albright   gt ben affleck   gt gwyneth paltrow   gt robin williams    ,2018,285,matt damon's snl attack on brett kavanaugh be a new low for democrat look closely at these pix of him with gt harvey weinstein gt bill clinton gt hillary clinton gt terry mcauliffe gt madeleine albright gt ben affleck gt gwyneth paltrow gt robin williams,matt damon's snl attack brett kavanaugh new low democrat look closely pix gt harvey weinstein gt bill clinton gt hillary clinton gt terry mcauliffe gt madeleine albright gt ben affleck gt gwyneth paltrow gt robin williams,matt damon's snl attack brett kavanaugh new low democrat look closely pix harvey weinstein bill clinton hillary clinton terry mcauliffe madeleine albright ben affleck gwyneth paltrow robin williams
                                                 the left   the never trump people  are fed up and pissed off  we've had enough  of this crazy presidency and the trump lap dog pay  who suppohim  they've given trump  a blank check  we're the laughing stock of the world  now  you'll hear from us    ,2018,298,the leave the never trump people be feed up and piss off we've have enough of this crazy presidency and the trump lap dog pay who suppohim they've give trump a blank check we're the laugh stock of the world now you'll hear from us,leave never trump people feed piss we've enough crazy presidency trump lap dog pay suppohim they've give trump blank check we're laugh stock world hear us,leave never trump people feed piss we've enough crazy presidency trump lap dog pay suppohim they've give trump blank check we're laugh stock world hear
